"book","section","word"
"Pride & Prejudice",1,"truth"
"Pride & Prejudice",1,"universally"
"Pride & Prejudice",1,"acknowledged"
"Pride & Prejudice",1,"single"
"Pride & Prejudice",1,"possession"
"Pride & Prejudice",1,"fortune"
"Pride & Prejudice",1,"wife"
"Pride & Prejudice",1,"feelings"
"Pride & Prejudice",1,"views"
"Pride & Prejudice",1,"entering"
"Pride & Prejudice",1,"neighbourhood"
"Pride & Prejudice",1,"truth"
"Pride & Prejudice",1,"fixed"
"Pride & Prejudice",1,"minds"
"Pride & Prejudice",1,"surrounding"
"Pride & Prejudice",1,"families"
"Pride & Prejudice",1,"considered"
"Pride & Prejudice",1,"rightful"
"Pride & Prejudice",1,"property"
"Pride & Prejudice",1,"daughters"
"Pride & Prejudice",1,"dear"
"Pride & Prejudice",1,"bennet"
"Pride & Prejudice",1,"lady"
"Pride & Prejudice",1,"day"
"Pride & Prejudice",1,"heard"
"Pride & Prejudice",1,"netherfield"
"Pride & Prejudice",1,"park"
"Pride & Prejudice",2,"bennet"
"Pride & Prejudice",2,"replied"
"Pride & Prejudice",2,"returned"
"Pride & Prejudice",2,"told"
"Pride & Prejudice",2,"bennet"
"Pride & Prejudice",2,"answer"
"Pride & Prejudice",2,"cried"
"Pride & Prejudice",2,"wife"
"Pride & Prejudice",2,"impatiently"
"Pride & Prejudice",3,"_you_"
"Pride & Prejudice",3,"objection"
"Pride & Prejudice",3,"hearing"
"Pride & Prejudice",3,"invitation"
"Pride & Prejudice",3,"dear"
"Pride & Prejudice",3,"netherfield"
"Pride & Prejudice",3,"fortune"
"Pride & Prejudice",3,"north"
"Pride & Prejudice",3,"england"
"Pride & Prejudice",3,"monday"
"Pride & Prejudice",3,"chaise"
"Pride & Prejudice",3,"delighted"
"Pride & Prejudice",3,"agreed"
"Pride & Prejudice",3,"morris"
"Pride & Prejudice",3,"immediately"
"Pride & Prejudice",3,"possession"
"Pride & Prejudice",3,"michaelmas"
"Pride & Prejudice",3,"servants"
"Pride & Prejudice",3,"house"
"Pride & Prejudice",3,"week"
"Pride & Prejudice",4,"bingley"
"Pride & Prejudice",4,"married"
"Pride & Prejudice",4,"single"
"Pride & Prejudice",4,"single"
"Pride & Prejudice",4,"dear"
"Pride & Prejudice",4,"single"
"Pride & Prejudice",4,"fortune"
"Pride & Prejudice",4,"thousand"
"Pride & Prejudice",4,"fine"
"Pride & Prejudice",4,"girls"
"Pride & Prejudice",5,"affect"
"Pride & Prejudice",5,"dear"
"Pride & Prejudice",5,"bennet"
"Pride & Prejudice",5,"replied"
"Pride & Prejudice",5,"wife"
"Pride & Prejudice",5,"tiresome"
"Pride & Prejudice",5,"thinking"
"Pride & Prejudice",5,"marrying"
"Pride & Prejudice",5,"design"
"Pride & Prejudice",5,"settling"
"Pride & Prejudice",5,"design"
"Pride & Prejudice",5,"nonsense"
"Pride & Prejudice",5,"talk"
"Pride & Prejudice",5,"_may_"
"Pride & Prejudice",5,"fall"
"Pride & Prejudice",5,"love"
"Pride & Prejudice",5,"visit"
"Pride & Prejudice",6,"occasion"
"Pride & Prejudice",6,"girls"
"Pride & Prejudice",6,"send"
"Pride & Prejudice",6,"handsome"
"Pride & Prejudice",6,"bingley"
"Pride & Prejudice",6,"party"
"Pride & Prejudice",6,"dear"
"Pride & Prejudice",6,"flatter"
"Pride & Prejudice",6,"_have_"
"Pride & Prejudice",6,"share"
"Pride & Prejudice",6,"beauty"
"Pride & Prejudice",6,"pretend"
"Pride & Prejudice",6,"extraordinary"
"Pride & Prejudice",6,"woman"
"Pride & Prejudice",6,"grown"
"Pride & Prejudice",6,"daughters"
"Pride & Prejudice",6,"thinking"
"Pride & Prejudice",6,"beauty"
"Pride & Prejudice",7,"woman"
"Pride & Prejudice",7,"beauty"
"Pride & Prejudice",7,"dear"
"Pride & Prejudice",7,"bingley"
"Pride & Prejudice",7,"neighbourhood"
"Pride & Prejudice",7,"engage"
"Pride & Prejudice",7,"assure"
"Pride & Prejudice",7,"daughters"
"Pride & Prejudice",7,"establishment"
"Pride & Prejudice",7,"sir"
"Pride & Prejudice",7,"william"
"Pride & Prejudice",7,"lady"
"Pride & Prejudice",7,"lucas"
"Pride & Prejudice",7,"determined"
"Pride & Prejudice",7,"account"
"Pride & Prejudice",7,"visit"
"Pride & Prejudice",8,"newcomers"
"Pride & Prejudice",8,"impossible"
"Pride & Prejudice",8,"_us_"
"Pride & Prejudice",8,"visit"
"Pride & Prejudice",8,"scrupulous"
"Pride & Prejudice",8,"surely"
"Pride & Prejudice",8,"dare"
"Pride & Prejudice",8,"bingley"
"Pride & Prejudice",8,"glad"
"Pride & Prejudice",8,"send"
"Pride & Prejudice",8,"lines"
"Pride & Prejudice",8,"assure"
"Pride & Prejudice",8,"hearty"
"Pride & Prejudice",8,"consent"
"Pride & Prejudice",8,"marrying"
"Pride & Prejudice",8,"whichever"
"Pride & Prejudice",8,"chooses"
"Pride & Prejudice",8,"girls"
"Pride & Prejudice",8,"throw"
"Pride & Prejudice",8,"word"
"Pride & Prejudice",8,"lizzy"
"Pride & Prejudice",8,"desire"
"Pride & Prejudice",8,"lizzy"
"Pride & Prejudice",8,"bit"
"Pride & Prejudice",8,"half"
"Pride & Prejudice",8,"handsome"
"Pride & Prejudice",8,"jane"
"Pride & Prejudice",8,"half"
"Pride & Prejudice",9,"humoured"
"Pride & Prejudice",9,"lydia"
"Pride & Prejudice",9,"giving"
"Pride & Prejudice",9,"_her_"
"Pride & Prejudice",9,"preference"
"Pride & Prejudice",9,"recommend"
"Pride & Prejudice",9,"replied"
"Pride & Prejudice",9,"silly"
"Pride & Prejudice",9,"ignorant"
"Pride & Prejudice",9,"girls"
"Pride & Prejudice",9,"lizzy"
"Pride & Prejudice",9,"quickness"
"Pride & Prejudice",9,"sisters"
"Pride & Prejudice",9,"bennet"
"Pride & Prejudice",9,"_can_"
"Pride & Prejudice",9,"abuse"
"Pride & Prejudice",9,"children"
"Pride & Prejudice",9,"delight"
"Pride & Prejudice",9,"vexing"
"Pride & Prejudice",9,"compassion"
"Pride & Prejudice",9,"poor"
"Pride & Prejudice",9,"nerves"
"Pride & Prejudice",9,"mistake"
"Pride & Prejudice",9,"dear"
"Pride & Prejudice",9,"respect"
"Pride & Prejudice",9,"nerves"
"Pride & Prejudice",10,"friends"
"Pride & Prejudice",10,"heard"
"Pride & Prejudice",10,"mention"
"Pride & Prejudice",10,"consideration"
"Pride & Prejudice",10,"twenty"
"Pride & Prejudice",10,"ah"
"Pride & Prejudice",10,"suffer"
"Pride & Prejudice",10,"hope"
"Pride & Prejudice",10,"live"
"Pride & Prejudice",10,"thousand"
"Pride & Prejudice",10,"neighbourhood"
"Pride & Prejudice",10,"twenty"
"Pride & Prejudice",10,"visit"
"Pride & Prejudice",11,"depend"
"Pride & Prejudice",11,"dear"
"Pride & Prejudice",11,"twenty"
"Pride & Prejudice",11,"visit"
"Pride & Prejudice",11,"bennet"
"Pride & Prejudice",11,"odd"
"Pride & Prejudice",11,"mixture"
"Pride & Prejudice",11,"quick"
"Pride & Prejudice",11,"sarcastic"
"Pride & Prejudice",11,"humour"
"Pride & Prejudice",11,"reserve"
"Pride & Prejudice",11,"caprice"
"Pride & Prejudice",11,"experience"
"Pride & Prejudice",11,"twenty"
"Pride & Prejudice",11,"insufficient"
"Pride & Prejudice",11,"wife"
"Pride & Prejudice",11,"understand"
"Pride & Prejudice",11,"character"
"Pride & Prejudice",11,"_her_"
"Pride & Prejudice",11,"mind"
"Pride & Prejudice",11,"difficult"
"Pride & Prejudice",11,"develop"
"Pride & Prejudice",11,"woman"
"Pride & Prejudice",11,"understanding"
"Pride & Prejudice",11,"information"
"Pride & Prejudice",11,"uncertain"
"Pride & Prejudice",11,"temper"
"Pride & Prejudice",11,"discontented"
"Pride & Prejudice",11,"fancied"
"Pride & Prejudice",11,"nervous"
"Pride & Prejudice",11,"business"
"Pride & Prejudice",11,"life"
"Pride & Prejudice",12,"daughters"
"Pride & Prejudice",12,"married"
"Pride & Prejudice",12,"solace"
"Pride & Prejudice",12,"visiting"
"Pride & Prejudice",12,"news"
"Pride & Prejudice",12,"chapter"
"Pride & Prejudice",12,"2"
"Pride & Prejudice",12,"bennet"
"Pride & Prejudice",12,"earliest"
"Pride & Prejudice",12,"waited"
"Pride & Prejudice",12,"bingley"
"Pride & Prejudice",12,"intended"
"Pride & Prejudice",12,"visit"
"Pride & Prejudice",12,"assuring"
"Pride & Prejudice",12,"wife"
"Pride & Prejudice",12,"till"
"Pride & Prejudice",12,"evening"
"Pride & Prejudice",12,"visit"
"Pride & Prejudice",13,"paid"
"Pride & Prejudice",13,"knowledge"
"Pride & Prejudice",13,"disclosed"
"Pride & Prejudice",13,"manner"
"Pride & Prejudice",13,"observing"
"Pride & Prejudice",13,"daughter"
"Pride & Prejudice",13,"employed"
"Pride & Prejudice",13,"trimming"
"Pride & Prejudice",13,"hat"
"Pride & Prejudice",13,"suddenly"
"Pride & Prejudice",13,"addressed"
"Pride & Prejudice",13,"hope"
"Pride & Prejudice",13,"bingley"
"Pride & Prejudice",13,"lizzy"
"Pride & Prejudice",13,"_what_"
"Pride & Prejudice",13,"bingley"
"Pride & Prejudice",13,"likes"
"Pride & Prejudice",13,"mother"
"Pride & Prejudice",13,"resentfully"
"Pride & Prejudice",13,"visit"
"Pride & Prejudice",13,"forget"
"Pride & Prejudice",13,"mamma"
"Pride & Prejudice",13,"elizabeth"
"Pride & Prejudice",13,"meet"
"Pride & Prejudice",14,"assemblies"
"Pride & Prejudice",14,"promised"
"Pride & Prejudice",14,"introduce"
"Pride & Prejudice",14,"nieces"
"Pride & Prejudice",14,"selfish"
